Episode,Trough_Date,Maximum_Drawdown,Last_Drawdown_Date,Recovery_Date,Recovered,Recovery_Calendar_Days,Recovery_Trading_Days
105,2010-04-20,-0.01739531090943114,2010-04-20,2010-04-21,True,1.0,1.0
106,2010-05-07,-0.12912202441394816,2010-06-16,2010-06-17,True,41.0,28.0
107,2010-08-24,-0.12456689677862642,2010-09-15,2010-09-16,True,23.0,16.0
108,2010-09-17,-0.004337712318768672,2010-09-17,2010-09-20,True,3.0,1.0
109,2010-10-04,-0.04679820176823579,2010-10-07,2010-10-08,True,4.0,4.0
110,2010-10-29,-0.05352142530484216,2010-11-03,2010-11-04,True,6.0,4.0
111,2010-11-05,-0.0035824357958661457,2010-11-05,2010-11-08,True,3.0,1.0
112,2010-11-17,-0.05687016735973727,2010-12-03,2010-12-06,True,19.0,12.0
113,2010-12-07,-0.006059531043170363,2010-12-07,2010-12-08,True,1.0,1.0
114,2010-12-09,-0.0038945390336431185,2010-12-10,2010-12-13,True,4.0,2.0
115,2010-12-14,-0.004290380331515964,2010-12-17,2010-12-20,True,6.0,4.0
116,2010-12-23,-0.004797585056991016,2010-12-27,2010-12-28,True,5.0,2.0
117,2010-12-31,-0.008941117275713562,2010-12-31,2011-01-03,True,3.0,1.0
118,2011-01-06,-0.0008082991617631707,2011-01-06,2011-01-07,True,1.0,1.0
119,2011-01-11,-0.0023655284240967633,2011-01-11,2011-01-12,True,1.0,1.0
120,2011-01-21,-0.062443282746590945,2011-02-04,2011-02-07,True,17.0,11.0
121,2011-02-10,-0.010107274223054241,2011-02-11,2011-02-14,True,4.0,2.0
122,2011-06-20,-0.13166098177891472,2011-07-14,2011-07-15,True,25.0,18.0
123,2011-08-08,-0.12443896017958966,2011-09-16,2011-09-19,True,42.0,29.0
124,2011-10-07,-0.10557532264807523,2011-10-13,2011-10-14,True,7.0,5.0
125,2011-10-17,-0.0047629834328448695,2011-10-17,2011-10-18,True,1.0,1.0
126,2011-11-25,-0.13894933815417165,2012-01-05,2012-01-06,True,42.0,28.0
127,2012-01-09,-0.0015862579665792964,2012-01-09,2012-01-10,True,1.0,1.0
128,2012-01-13,-0.008104190231126185,2012-01-13,2012-01-17,True,4.0,1.0
129,2012-01-20,-0.020530512442107907,2012-01-24,2012-01-25,True,5.0,3.0
130,2012-01-26,-0.0045445644939888785,2012-01-26,2012-01-27,True,1.0,1.0
131,2012-02-02,-0.002979736201248806,2012-02-02,2012-02-03,True,1.0,1.0
132,2012-02-15,-0.02314201759299539,2012-02-17,2012-02-21,True,6.0,3.0
133,2012-02-22,-0.0035150825952752207,2012-02-22,2012-02-23,True,1.0,1.0
134,2012-03-06,-0.027367234717999733,2012-03-09,2012-03-12,True,6.0,4.0
135,2012-03-15,-0.006818125770386763,2012-03-16,2012-03-19,True,4.0,2.0
136,2012-03-23,-0.016354286967526943,2012-03-23,2012-03-26,True,3.0,1.0
137,2012-03-30,-0.029257430593364386,2012-03-30,2012-04-02,True,3.0,1.0
138,2012-04-04,-0.00796156915739854,2012-04-04,2012-04-05,True,1.0,1.0
139,2012-05-17,-0.1667792101104073,2012-08-15,2012-08-16,True,91.0,63.0
140,2012-08-21,-0.01366602728184041,2012-08-21,2012-08-22,True,1.0,1.0
141,2012-08-23,-0.009328957561212659,2012-08-24,2012-08-27,True,4.0,2.0
142,2012-08-30,-0.017478889218013882,2012-09-05,2012-09-06,True,7.0,4.0
143,2012-09-11,-0.029172440758979512,2012-09-12,2012-09-13,True,2.0,2.0
144,2013-04-19,-0.43797153589757165,2014-07-11,2014-07-14,True,451.0,310.0
145,2014-07-17,-0.034836896966203956,2014-07-22,2014-07-23,True,6.0,4.0
146,2014-07-24,-0.0016461800541460736,2014-07-24,2014-07-25,True,1.0,1.0
147,2014-08-07,-0.041103392772377734,2014-08-15,2014-08-18,True,11.0,7.0
148,2014-08-26,-0.006401137009043656,2014-08-26,2014-08-27,True,1.0,1.0
149,2014-10-16,-0.06815127381870334,2014-10-22,2014-10-23,True,7.0,5.0
150,2014-10-27,-0.0010452989790588063,2014-10-27,2014-10-28,True,1.0,1.0
151,2014-10-30,-0.003353897446775944,2014-10-30,2014-10-31,True,1.0,1.0
152,2014-11-04,-0.00731265827546812,2014-11-06,2014-11-07,True,3.0,3.0
153,2014-11-10,-0.0016514098356505968,2014-11-10,2014-11-11,True,1.0,1.0
154,2014-11-17,-0.0016636762704639318,2014-11-17,2014-11-18,True,1.0,1.0
155,2014-11-19,-0.006928219426986515,2014-11-19,2014-11-20,True,1.0,1.0
156,2014-11-25,-0.008682586220086663,2014-11-25,2014-11-26,True,1.0,1.0
157,2015-01-16,-0.10932771672725672,2015-02-03,2015-02-04,True,19.0,12.0
158,2015-02-06,-0.008421092601999303,2015-02-09,2015-02-10,True,4.0,2.0
159,2015-02-19,-0.002097875908153246,2015-02-19,2015-02-20,True,1.0,1.0
160,2015-03-11,-0.08090258675245998,2015-05-21,2015-05-22,True,72.0,51.0
161,2016-05-12,-0.3044376689086453,2017-01-31,2017-02-01,True,265.0,182.0
162,2017-02-02,-0.001708557695660362,2017-02-02,2017-02-03,True,1.0,1.0
163,2017-02-10,-0.002265857822725037,2017-02-10,2017-02-13,True,3.0,1.0
164,2017-02-16,-0.0011806862771757132,2017-02-16,2017-02-17,True,1.0,1.0
165,2017-02-23,-0.004230274391763267,2017-02-28,2017-03-01,True,6.0,4.0
166,2017-03-09,-0.00794065455315729,2017-03-14,2017-03-15,True,6.0,4.0
167,2017-03-17,-0.004975675402365098,2017-03-17,2017-03-20,True,3.0,1.0
168,2017-03-21,-0.011451705391340439,2017-03-27,2017-03-28,True,7.0,5.0
169,2017-03-31,-0.0031916587831612997,2017-04-03,2017-04-04,True,4.0,2.0
170,2017-04-19,-0.028251593914669026,2017-04-28,2017-05-01,True,12.0,8.0
171,2017-05-04,-0.00664370249637336,2017-05-04,2017-05-05,True,1.0,1.0
172,2017-05-10,-0.004740689774171525,2017-05-10,2017-05-11,True,1.0,1.0
173,2017-06-16,-0.08859675126621003,2017-08-01,2017-08-02,True,47.0,32.0
174,2017-08-03,-0.00999079693052285,2017-08-04,2017-08-07,True,4.0,2.0
175,2017-08-10,-0.03185201729851583,2017-08-14,2017-08-15,True,5.0,3.0
176,2017-08-21,-0.027165893650958672,2017-08-28,2017-08-29,True,8.0,6.0
177,2017-09-25,-0.08229183736276036,2017-10-27,2017-10-30,True,35.0,25.0
178,2017-11-01,-0.012719176607715377,2017-11-02,2017-11-03,True,2.0,2.0
179,2017-12-06,-0.03757646579337248,2017-12-15,2017-12-18,True,12.0,8.0
180,2017-12-29,-0.04075482262808838,2018-01-11,2018-01-12,True,14.0,9.0
181,2018-01-16,-0.005082179721362268,2018-01-16,2018-01-17,True,1.0,1.0
182,2018-02-08,-0.13449695733637812,2018-02-23,2018-02-26,True,18.0,11.0
183,2018-03-01,-0.022182884549383663,2018-03-08,2018-03-09,True,8.0,6.0
184,2018-04-27,-0.10675763606672106,2018-05-03,2018-05-04,True,7.0,5.0
185,2018-05-18,-0.01584676487455794,2018-05-31,2018-06-01,True,14.0,9.0
186,2018-06-25,-0.060882739196569946,2018-07-24,2018-07-25,True,30.0,21.0
187,2018-07-30,-0.025202832366942096,2018-07-31,2018-08-01,True,2.0,2.0
188,2018-08-07,-0.009374962942168219,2018-08-10,2018-08-13,True,6.0,4.0
189,2018-08-21,-0.01167370099870968,2018-08-24,2018-08-27,True,6.0,4.0
190,2018-09-21,-0.046855676988347916,2018-10-01,2018-10-02,True,11.0,7.0
191,2019-01-03,-0.3851591763166258,2019-10-09,2019-10-10,True,280.0,194.0
192,2019-10-16,-0.007789573341544176,2019-10-17,2019-10-18,True,2.0,2.0
193,2019-10-22,-0.002286596804675023,2019-10-22,2019-10-23,True,1.0,1.0
194,2019-10-30,-0.023248480537892302,2019-10-31,2019-11-01,True,2.0,2.0
195,2019-11-05,-0.0014371959451240368,2019-11-06,2019-11-07,True,2.0,2.0
196,2019-11-12,-0.0009154662093751043,2019-11-12,2019-11-13,True,1.0,1.0
197,2019-11-14,-0.00691966603182248,2019-11-14,2019-11-15,True,1.0,1.0
198,2019-11-22,-0.01991791171544599,2019-11-26,2019-11-27,True,5.0,3.0
199,2019-12-03,-0.031324641705018474,2019-12-05,2019-12-06,True,3.0,3.0
200,2019-12-09,-0.014000651209422399,2019-12-10,2019-12-11,True,2.0,2.0
201,2019-12-20,-0.0034593402015834496,2019-12-20,2019-12-23,True,3.0,1.0
202,2019-12-27,-0.0003789574394157391,2019-12-27,2019-12-30,True,3.0,1.0
203,2020-01-03,-0.009721965345744432,2020-01-07,2020-01-08,True,5.0,3.0
204,2020-01-15,-0.017731355962467776,2020-01-16,2020-01-17,True,2.0,2.0
205,2020-01-21,-0.006777341323279118,2020-01-22,2020-01-23,True,2.0,2.0
206,2020-01-27,-0.032202661916148956,2020-01-28,2020-01-29,True,2.0,2.0
207,2020-02-03,-0.04834437992453122,2020-02-05,2020-02-06,True,3.0,3.0
208,2020-02-11,-0.014887141631758194,2020-02-11,2020-02-12,True,1.0,1.0
209,2020-03-23,-0.31427268407724407,2020-06-04,2020-06-05,True,74.0,52.0
210,2020-06-11,-0.048010226675024414,2020-06-19,2020-06-22,True,11.0,7.0
211,2020-06-26,-0.035194661496211865,2020-07-02,2020-07-06,True,10.0,5.0
212,2020-07-07,-0.0031028921989669778,2020-07-07,2020-07-08,True,1.0,1.0
213,2020-07-13,-0.004613283830295689,2020-07-13,2020-07-14,True,1.0,1.0
214,2020-07-17,-0.014300133326844988,2020-07-17,2020-07-20,True,3.0,1.0
215,2020-07-24,-0.05838398794440425,2020-07-30,2020-07-31,True,7.0,5.0
216,2020-08-11,-0.03801758308197678,2020-08-12,2020-08-13,True,2.0,2.0
217,2020-08-17,-0.0034997433494163843,2020-08-17,2020-08-18,True,1.0,1.0
218,2020-08-25,-0.008203709449011942,2020-08-25,2020-08-26,True,1.0,1.0
219,2020-08-28,-0.01355533272157683,2020-08-28,2020-08-31,True,3.0,1.0
220,2020-09-18,-0.2037563633564542,2020-12-24,2020-12-28,True,101.0,69.0
221,2021-01-06,-0.0738168287754748,2021-01-20,2021-01-21,True,15.0,10.0
222,2021-03-08,-0.1859887976518919,2021-07-06,2021-07-07,True,121.0,84.0
223,2021-07-08,-0.00919969711843105,2021-07-08,2021-07-09,True,1.0,1.0
224,2021-07-12,-0.004203596005628252,2021-07-12,2021-07-13,True,1.0,1.0
225,2021-07-19,-0.04492141132297134,2021-08-12,2021-08-13,True,25.0,19.0
226,2021-08-18,-0.03149790680629572,2021-08-27,2021-08-30,True,12.0,8.0
227,2021-08-31,-0.008424431300313673,2021-09-01,2021-09-02,True,2.0,2.0
228,2021-10-04,-0.11200454396419146,2021-11-17,2021-11-18,True,45.0,33.0
229,2021-11-26,-0.0316784874537277,2021-11-29,2021-11-30,True,4.0,2.0
230,2021-12-03,-0.020931763720386742,2021-12-03,2021-12-06,True,3.0,1.0
231,2021-12-09,-0.002970167876183205,2021-12-09,2021-12-10,True,1.0,1.0
232,2021-12-20,-0.05405408699223535,2021-12-23,2021-12-27,True,7.0,4.0
233,2021-12-31,-0.015305361818656382,2021-12-31,2022-01-03,True,3.0,1.0
234,2023-01-05,-0.30912814922212417,2023-06-01,2023-06-02,True,148.0,102.0
235,2023-06-07,-0.01729730858486156,2023-06-08,2023-06-09,True,2.0,2.0
236,2023-06-13,-0.0026117908322661476,2023-06-13,2023-06-14,True,1.0,1.0
237,2023-06-21,-0.011020811213826587,2023-06-21,2023-06-22,True,1.0,1.0
238,2023-06-26,-0.00925138128089642,2023-06-26,2023-06-27,True,1.0,1.0
239,2023-07-11,-0.030365496980311768,2023-07-14,2023-07-17,True,6.0,4.0
240,2023-07-18,-0.0013403308342032627,2023-07-18,2023-07-19,True,1.0,1.0
241,2023-07-21,-0.016197088575352625,2023-07-27,2023-07-28,True,7.0,5.0
242,2023-10-26,-0.14932376133272274,2023-12-12,2023-12-13,True,48.0,33.0
243,2024-04-19,-0.16606666725397146,2024-06-10,2024-06-11,True,53.0,36.0
244,2024-06-14,-0.008168403790145162,2024-06-14,2024-06-17,True,3.0,1.0
245,2024-06-21,-0.042368597556337484,2024-06-28,2024-07-01,True,10.0,6.0
246,2024-07-11,-0.023220812771093224,2024-07-12,2024-07-15,True,4.0,2.0
247,2024-08-06,-0.11749424505733552,2024-10-17,2024-10-18,True,73.0,52.0
248,2024-11-04,-0.0611891757542673,2024-11-27,2024-11-29,True,25.0,18.0
249,2024-12-06,-0.0008229878582414196,2024-12-06,2024-12-09,True,3.0,1.0
250,2024-12-11,-0.005166099637575083,2024-12-11,2024-12-12,True,1.0,1.0
251,2024-12-18,-0.021421832385622785,2024-12-19,2024-12-20,True,2.0,2.0
252,2025-04-08,-0.3336052559468633,2025-10-17,2025-10-20,True,195.0,134.0
253,2025-10-22,-0.01644002930028554,2025-10-23,2025-10-24,True,2.0,2.0
254,2025-11-07,-0.010795774145579085,2025-11-10,2025-11-11,True,4.0,2.0
255,2025-11-20,-0.03269749951861656,2025-11-21,2025-11-24,True,4.0,2.0
256,2026-01-20,-0.13798523953754416,2026-05-05,2026-05-06,True,106.0,74.0
257,2026-05-07,-0.0002435044652232543,2026-05-07,2026-05-08,True,1.0,1.0
258,2026-05-11,-0.0012626131025762488,2026-05-11,2026-05-12,True,1.0,1.0
259,2026-05-14,-0.002208293097152536,2026-05-14,2026-05-15,True,1.0,1.0
260,2026-05-18,-0.007960661114649215,2026-05-19,2026-05-20,True,2.0,2.0
261,2026-05-26,-0.001586735786880733,2026-05-26,2026-05-27,True,1.0,1.0
262,2026-06-01,-0.01983940972900955,2026-06-01,2026-06-02,True,1.0,1.0
263,2026-06-25,-0.12706222175450266,2026-07-08,2026-07-09,True,14.0,9.0
264,2026-07-10,-0.002846043762522954,2026-07-10,2026-07-13,True,3.0,1.0
265,2026-07-14,-0.007721115748007268,2026-07-14,2026-07-15,True,1.0,1.0
266,2026-07-23,-0.036195720376242524,2026-07-24,2026-07-27,True,4.0,2.0
267,2026-08-03,-0.10779801723312576,2026-08-10,,False,,
