Episode,Start_Date,Last_Drawdown_Date,Trading_Days_In_Drawdown,Maximum_Drawdown,Trough_Date,Calendar_Days_In_Drawdown,Ongoing
137,2012-03-29,2012-03-30,2,-0.029257430593364386,2012-03-30,1,False
138,2012-04-04,2012-04-04,1,-0.00796156915739854,2012-04-04,0,False
139,2012-04-10,2012-08-15,90,-0.1667792101104073,2012-05-17,127,False
140,2012-08-21,2012-08-21,1,-0.01366602728184041,2012-08-21,0,False
141,2012-08-23,2012-08-24,2,-0.009328957561212659,2012-08-23,1,False
142,2012-08-28,2012-09-05,6,-0.017478889218013882,2012-08-30,8,False
143,2012-09-10,2012-09-12,3,-0.029172440758979512,2012-09-11,2,False
144,2012-09-20,2014-07-11,453,-0.43797153589757165,2013-04-19,659,False
145,2014-07-15,2014-07-22,6,-0.034836896966203956,2014-07-17,7,False
146,2014-07-24,2014-07-24,1,-0.0016461800541460736,2014-07-24,0,False
147,2014-07-29,2014-08-15,14,-0.041103392772377734,2014-08-07,17,False
148,2014-08-26,2014-08-26,1,-0.006401137009043656,2014-08-26,0,False
149,2014-09-03,2014-10-22,36,-0.06815127381870334,2014-10-16,49,False
150,2014-10-27,2014-10-27,1,-0.0010452989790588063,2014-10-27,0,False
151,2014-10-30,2014-10-30,1,-0.003353897446775944,2014-10-30,0,False
152,2014-11-04,2014-11-06,3,-0.00731265827546812,2014-11-04,2,False
153,2014-11-10,2014-11-10,1,-0.0016514098356505968,2014-11-10,0,False
154,2014-11-17,2014-11-17,1,-0.0016636762704639318,2014-11-17,0,False
155,2014-11-19,2014-11-19,1,-0.006928219426986515,2014-11-19,0,False
156,2014-11-25,2014-11-25,1,-0.008682586220086663,2014-11-25,0,False
157,2014-11-28,2015-02-03,45,-0.10932771672725672,2015-01-16,67,False
158,2015-02-06,2015-02-09,2,-0.008421092601999303,2015-02-06,3,False
159,2015-02-19,2015-02-19,1,-0.002097875908153246,2015-02-19,0,False
160,2015-02-24,2015-05-21,62,-0.08090258675245998,2015-03-11,86,False
161,2015-05-26,2017-01-31,426,-0.3044376689086453,2016-05-12,616,False
162,2017-02-02,2017-02-02,1,-0.001708557695660362,2017-02-02,0,False
163,2017-02-10,2017-02-10,1,-0.002265857822725037,2017-02-10,0,False
164,2017-02-16,2017-02-16,1,-0.0011806862771757132,2017-02-16,0,False
165,2017-02-23,2017-02-28,4,-0.004230274391763267,2017-02-23,5,False
166,2017-03-02,2017-03-14,9,-0.00794065455315729,2017-03-09,12,False
167,2017-03-17,2017-03-17,1,-0.004975675402365098,2017-03-17,0,False
168,2017-03-21,2017-03-27,5,-0.011451705391340439,2017-03-21,6,False
169,2017-03-30,2017-04-03,3,-0.0031916587831612997,2017-03-31,4,False
170,2017-04-05,2017-04-28,17,-0.028251593914669026,2017-04-19,23,False
171,2017-05-03,2017-05-04,2,-0.00664370249637336,2017-05-04,1,False
172,2017-05-10,2017-05-10,1,-0.004740689774171525,2017-05-10,0,False
173,2017-05-15,2017-08-01,55,-0.08859675126621003,2017-06-16,78,False
174,2017-08-03,2017-08-04,2,-0.00999079693052285,2017-08-03,1,False
175,2017-08-10,2017-08-14,3,-0.03185201729851583,2017-08-10,4,False
176,2017-08-16,2017-08-28,9,-0.027165893650958672,2017-08-21,12,False
177,2017-09-05,2017-10-27,39,-0.08229183736276036,2017-09-25,52,False
178,2017-11-01,2017-11-02,2,-0.012719176607715377,2017-11-01,1,False
179,2017-11-09,2017-12-15,26,-0.03757646579337248,2017-12-06,36,False
180,2017-12-19,2018-01-11,16,-0.04075482262808838,2017-12-29,23,False
181,2018-01-16,2018-01-16,1,-0.005082179721362268,2018-01-16,0,False
182,2018-01-19,2018-02-23,25,-0.13449695733637812,2018-02-08,35,False
183,2018-02-27,2018-03-08,8,-0.022182884549383663,2018-03-01,9,False
184,2018-03-13,2018-05-03,37,-0.10675763606672106,2018-04-27,51,False
185,2018-05-11,2018-05-31,14,-0.01584676487455794,2018-05-18,20,False
186,2018-06-07,2018-07-24,33,-0.060882739196569946,2018-06-25,47,False
187,2018-07-26,2018-07-31,4,-0.025202832366942096,2018-07-30,5,False
188,2018-08-07,2018-08-10,4,-0.009374962942168219,2018-08-07,3,False
189,2018-08-20,2018-08-24,5,-0.01167370099870968,2018-08-21,4,False
190,2018-09-05,2018-10-01,19,-0.046855676988347916,2018-09-21,26,False
191,2018-10-04,2019-10-09,255,-0.3851591763166258,2019-01-03,370,False
192,2019-10-14,2019-10-17,4,-0.007789573341544176,2019-10-16,3,False
193,2019-10-22,2019-10-22,1,-0.002286596804675023,2019-10-22,0,False
194,2019-10-29,2019-10-31,3,-0.023248480537892302,2019-10-30,2,False
195,2019-11-05,2019-11-06,2,-0.0014371959451240368,2019-11-05,1,False
196,2019-11-12,2019-11-12,1,-0.0009154662093751043,2019-11-12,0,False
197,2019-11-14,2019-11-14,1,-0.00691966603182248,2019-11-14,0,False
198,2019-11-19,2019-11-26,6,-0.01991791171544599,2019-11-22,7,False
199,2019-11-29,2019-12-05,5,-0.031324641705018474,2019-12-03,6,False
200,2019-12-09,2019-12-10,2,-0.014000651209422399,2019-12-09,1,False
201,2019-12-18,2019-12-20,3,-0.0034593402015834496,2019-12-20,2,False
202,2019-12-27,2019-12-27,1,-0.0003789574394157391,2019-12-27,0,False
203,2020-01-03,2020-01-07,3,-0.009721965345744432,2020-01-03,4,False
204,2020-01-14,2020-01-16,3,-0.017731355962467776,2020-01-15,2,False
205,2020-01-21,2020-01-22,2,-0.006777341323279118,2020-01-21,1,False
206,2020-01-24,2020-01-28,3,-0.032202661916148956,2020-01-27,4,False
207,2020-01-30,2020-02-05,5,-0.04834437992453122,2020-02-03,6,False
